country,country_name,type,level,2016,2017,2018
BE,Belgium,Total net production,Total,82520.0,82948.5,69212.347
BE,Belgium,Imports,Total,14648.0,14189.4,21635.908
BE,Belgium,Exports,Total,8465.0,8167.8,4308.347
BE,Belgium,Energy absorbed by pumping,Total,1475.0,1485.4,1347.901
BE,Belgium,Energy supplied,Total,87228.0,87484.7,85192.007
BG,Bulgaria,Total net production,Total,41221.0,41351.303,41705.0
BG,Bulgaria,Imports,Total,4568.0,3705.423,2223.0
BG,Bulgaria,Exports,Total,10940.0,9185.794,10030.0
BG,Bulgaria,Energy absorbed by pumping,Total,918.0,949.527,425.0
BG,Bulgaria,Energy supplied,Total,33931.0,34921.405,33473.0
CZ,Czechia,Total net production,Total,76398.0,79885.766,81967.62700000001
CZ,Czechia,Imports,Total,13817.0,15072.0,11573.411
CZ,Czechia,Exports,Total,24791.0,28108.9,25480.503
CZ,Czechia,Energy absorbed by pumping,Total,1570.0,1530.5,1372.8840000000002
CZ,Czechia,Energy supplied,Total,63854.0,65318.36600000001,66687.651
DK,Denmark,Total net production,Total,29077.932,29653.682,28939.089
DK,Denmark,Imports,Total,14976.458,15218.109,15633.609
DK,Denmark,Exports,Total,9919.365,10655.394,10409.265999999998
DK,Denmark,Energy absorbed by pumping,Total,0.0,0.0,0.0
DK,Denmark,Energy supplied,Total,34135.025,34216.397,34163.43200000001
DE,Germany,Total net production,Total,614155.0,619059.0,571799.7130000001
DE,Germany,Imports,Total,28338.0,27842.0,31701.359000000004
DE,Germany,Exports,Total,78863.0,80301.0,80187.327
DE,Germany,Energy absorbed by pumping,Total,7497.0,8252.0,8347.706
DE,Germany,Energy supplied,Total,556133.0,558348.0,514966.03900000016
EE,Estonia,Total net production,Total,10424.0,11234.0,10834.142999999998
EE,Estonia,Imports,Total,3577.0,2281.0,3053.0
EE,Estonia,Exports,Total,5614.0,5015.0,4949.7
EE,Estonia,Energy absorbed by pumping,Total,0.0,0.0,0.0
EE,Estonia,Energy supplied,Total,8387.0,8500.0,8937.443
IE,Ireland,Total net production,Total,29689.24,30086.974,29234.886
IE,Ireland,Imports,Total,871.263,1116.408,1621.5190000000002
IE,Ireland,Exports,Total,1583.011,1794.91,1649.2490000000005
IE,Ireland,Energy absorbed by pumping,Total,532.404,398.643,499.328
IE,Ireland,Energy supplied,Total,28445.088000000003,29009.829,28707.828
EL,Greece,Total net production,Total,50227.0,50589.215,50708.94900000001
EL,Greece,Imports,Total,9833.0,8696.0,8705.56
EL,Greece,Exports,Total,1037.0,2459.0,2186.68
EL,Greece,Energy absorbed by pumping,Total,32.0,110.0,28.49
EL,Greece,Energy supplied,Total,58991.0,56716.215,57199.33900000001
ES,Spain,Total net production,Total,264344.0,264918.0,261071.19100000005
ES,Spain,Imports,Total,21845.0,23762.0,24017.905
ES,Spain,Exports,Total,14178.0,14593.0,12915.79
ES,Spain,Energy absorbed by pumping,Total,4819.0,3675.0,3197.636
ES,Spain,Energy supplied,Total,267192.0,270412.0,268975.67000000004
FR,France,Total net production,Total,540767.954,538042.323,551685.8230000001
FR,France,Imports,Total,19903.0,21134.0,12826.095
FR,France,Exports,Total,61404.0,61248.0,76094.985
FR,France,Energy absorbed by pumping,Total,6723.585,7104.325000000001,7331.316999999998
FR,France,Energy supplied,Total,492543.369,490823.998,481085.6160000001
HR,Croatia,Total net production,Total,12284.0,11522.9,13256.54
HR,Croatia,Imports,Total,12398.0,12157.9,12692.328999999998
HR,Croatia,Exports,Total,6867.0,5204.2,7292.952999999999
HR,Croatia,Energy absorbed by pumping,Total,294.0,286.2,118.552
HR,Croatia,Energy supplied,Total,17521.0,18190.4,18537.364
IT,Italy,Total net production,Total,279702.622,285265.649,280234.0
IT,Italy,Imports,Total,43181.0,42894.881,47179.0
IT,Italy,Exports,Total,6154.0,5134.231,3270.0
IT,Italy,Energy absorbed by pumping,Total,2468.0,2478.162,2233.0
IT,Italy,Energy supplied,Total,314261.622,320548.137,321910.0
CY,Cyprus,Total net production,Total,4667.638,4778.280000000001,4791.084999999999
CY,Cyprus,Imports,Total,0.0,0.0,0.0
CY,Cyprus,Exports,Total,0.0,0.0,0.0
CY,Cyprus,Energy absorbed by pumping,Total,0.0,0.0,0.0
CY,Cyprus,Energy supplied,Total,4667.638,4778.280000000001,4791.084999999999
LV,Latvia,Total net production,Total,5927.0,7024.859,6500.0
LV,Latvia,Imports,Total,4828.0,4072.912,5172.0
LV,Latvia,Exports,Total,3795.0,4137.077,4264.0
LV,Latvia,Energy absorbed by pumping,Total,0.0,0.0,0.0
LV,Latvia,Energy supplied,Total,6960.0,6960.693999999999,7408.0
LT,Lithuania,Total net production,Total,4051.0,3996.1,3183.0950000000003
LT,Lithuania,Imports,Total,11106.0,11926.2,12847.483
LT,Lithuania,Exports,Total,2831.0,3249.0,3215.07
LT,Lithuania,Energy absorbed by pumping,Total,790.0,799.1,726.3199999999999
LT,Lithuania,Energy supplied,Total,11536.0,11874.2,12089.188000000002
LU,Luxembourg,Total net production,Total,2167.69,2204.738,2164.862
LU,Luxembourg,Imports,Total,7718.393,7566.69,7553.012000000001
LU,Luxembourg,Exports,Total,1419.691,1388.648,1391.674
LU,Luxembourg,Energy absorbed by pumping,Total,1942.514,1833.679,1717.5
LU,Luxembourg,Energy supplied,Total,6523.878,6549.101000000001,6608.700000000001
HU,Hungary,Total net production,Total,29548.0,30676.0,29749.879
HU,Hungary,Imports,Total,17951.0,19803.0,18613.295
HU,Hungary,Exports,Total,5240.0,6925.0,4265.07
HU,Hungary,Energy absorbed by pumping,Total,0.0,0.0,0.0
HU,Hungary,Energy supplied,Total,42259.0,43554.0,44098.104
MT,Malta,Total net production,Total,807.16,1594.4589999999998,1888.398
MT,Malta,Imports,Total,1525.0,897.066,631.2929999999999
MT,Malta,Exports,Total,,35.699,10.550999999999998
MT,Malta,Energy absorbed by pumping,Total,0.0,0.0,0.0
MT,Malta,Energy supplied,Total,2332.16,2455.826,2509.14
NL,Netherlands,Total net production,Total,111032.253,113465.034,112551.371
NL,Netherlands,Imports,Total,24257.626,22457.715,24018.0
NL,Netherlands,Exports,Total,19343.254,18951.503,18157.0
NL,Netherlands,Energy absorbed by pumping,Total,0.0,0.0,0.0
NL,Netherlands,Energy supplied,Total,115946.625,116971.24599999998,118412.37099999998
AT,Austria,Total net production,Total,64860.87,67690.162,65587.79199999999
AT,Austria,Imports,Total,26366.16,29362.427,28076.136
AT,Austria,Exports,Total,19206.889,22816.512,19129.33
AT,Austria,Energy absorbed by pumping,Total,4253.498,5610.607,5116.052000000001
AT,Austria,Energy supplied,Total,67766.64300000001,68625.46999999999,69418.54599999999
PL,Poland,Total net production,Total,152003.0,154869.344,154096.49999999997
PL,Poland,Imports,Total,14017.0,13271.0,13815.803
PL,Poland,Exports,Total,12018.0,10984.0,8121.301000000001
PL,Poland,Energy absorbed by pumping,Total,744.0,734.88,660.599
PL,Poland,Energy supplied,Total,153258.0,156421.464,159130.40299999996
PT,Portugal,Total net production,Total,58862.052,57668.978,58085.0
PT,Portugal,Imports,Total,4616.0,5505.732,5668.0
PT,Portugal,Exports,Total,9701.0,8189.704,8326.0
PT,Portugal,Energy absorbed by pumping,Total,1520.0,2223.899,1565.0
PT,Portugal,Energy supplied,Total,52257.052,52761.10700000001,53862.0
RO,Romania,Total net production,Total,60256.0,59355.43,58722.0
RO,Romania,Imports,Total,4177.0,4841.754,3695.0
RO,Romania,Exports,Total,9194.0,7735.38,6239.0
RO,Romania,Energy absorbed by pumping,Total,660.0,466.424,0.0
RO,Romania,Energy supplied,Total,54579.0,55995.380000000005,56178.0
SI,Slovenia,Total net production,Total,15546.0,15396.876,15284.254
SI,Slovenia,Imports,Total,8359.0,9132.532,8930.238000000001
SI,Slovenia,Exports,Total,9535.0,9648.192,9432.404
SI,Slovenia,Energy absorbed by pumping,Total,373.0,365.3,252.43500000000003
SI,Slovenia,Energy supplied,Total,13997.0,14515.916,14529.653000000002
SK,Slovakia,Total net production,Total,24997.0,25692.0,23717.0
SK,Slovakia,Imports,Total,13249.0,15563.0,12427.0
SK,Slovakia,Exports,Total,10598.0,12535.0,8746.0
SK,Slovakia,Energy absorbed by pumping,Total,334.0,418.0,401.0
SK,Slovakia,Energy supplied,Total,27314.0,28302.0,26997.0
FI,Finland,Total net production,Total,66200.0,65038.0,67423.674
FI,Finland,Imports,Total,22110.0,22204.0,22548.0
FI,Finland,Exports,Total,3159.0,1779.0,2611.0
FI,Finland,Energy absorbed by pumping,Total,0.0,0.0,0.0
FI,Finland,Energy supplied,Total,85151.0,85463.0,87360.674
SE,Sweden,Total net production,Total,152531.0,160526.0,158287.08799999996
SE,Sweden,Imports,Total,14287.0,11896.0,14441.815
SE,Sweden,Exports,Total,26022.0,30888.0,31671.103
SE,Sweden,Energy absorbed by pumping,Total,170.0,36.0,56.301
SE,Sweden,Energy supplied,Total,140626.0,141498.0,141001.49899999995
UK,,Total net production,Total,324274.434,323439.536,317375.629
UK,,Imports,Total,20017.923,18166.98,21332.415000000005
UK,,Exports,Total,2272.866,3407.049,2224.764
UK,,Energy absorbed by pumping,Total,4014.34,3859.19,3390.8659999999995
UK,,Energy supplied,Total,338005.151,334340.277,333092.41399999993
NO,Norway,Total net production,Total,149067.0,148642.0,146845.18699999998
NO,Norway,Imports,Total,5740.0,6111.0,8339.724
NO,Norway,Exports,Total,22151.0,21276.0,18488.911
NO,Norway,Energy absorbed by pumping,Total,1427.0,1653.0,1021.492
NO,Norway,Energy supplied,Total,131229.0,131824.0,135674.50799999997
ME,Montenegro,Total net production,Total,3023.0,2363.8,3743.0
ME,Montenegro,Imports,Total,1210.0,1536.9,7106.0
ME,Montenegro,Exports,Total,906.0,416.7,868.0
ME,Montenegro,Energy absorbed by pumping,Total,0.0,0.0,0.0
ME,Montenegro,Energy supplied,Total,3327.0,3484.0000000000005,9981.0
MK,North Macedonia,Total net production,Total,5284.253,5226.865,5203.736000000001
MK,North Macedonia,Imports,Total,2190.606,2293.571,7261.253000000001
MK,North Macedonia,Exports,Total,159.853,311.026,5341.489
MK,North Macedonia,Energy absorbed by pumping,Total,0.0,0.0,0.0
MK,North Macedonia,Energy supplied,Total,7315.006,7209.41,7123.500000000002
AL,Albania,Total net production,Total,7136.0,4497.807,8596.537
AL,Albania,Imports,Total,0.0,2914.628,1771.742
AL,Albania,Exports,Total,42.0,0.0,2685.047
AL,Albania,Energy absorbed by pumping,Total,0.0,0.0,0.0
AL,Albania,Energy supplied,Total,7094.0,7412.434999999999,7683.232000000001
